epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1317.28,1.35941,1.15893,1.24164,0.71742,0.62516,0.6829,0.40071,1.36648,1.1604,1.29274,0.005743,0.005743,0.005743
45,1348.94,1.34646,1.17752,1.25419,0.70173,0.68309,0.6867,0.40667,1.4203,1.23471,1.35225,0.005644,0.005644,0.005644
46,1379.76,1.29603,1.11766,1.21948,0.71757,0.60119,0.66456,0.39537,1.33016,1.22058,1.24474,0.005545,0.005545,0.005545
47,1408.37,1.31536,1.10632,1.25128,0.67519,0.6011,0.61226,0.36687,1.34709,1.1822,1.26009,0.005446,0.005446,0.005446
48,1435.9,1.31138,1.12439,1.21831,0.76532,0.56,0.60966,0.36825,1.32662,1.25301,1.24906,0.005347,0.005347,0.005347
49,1464.56,1.28654,1.08997,1.20275,0.75676,0.53398,0.63073,0.38366,1.28882,1.24104,1.22673,0.005248,0.005248,0.005248
50,1492.09,1.30935,1.11646,1.23181,0.63886,0.55944,0.61046,0.37253,1.38651,1.22346,1.26983,0.005149,0.005149,0.005149
51,1520.41,1.29731,1.07761,1.23616,0.63722,0.59162,0.62628,0.37936,1.31181,1.25128,1.25239,0.00505,0.00505,0.00505
52,1548.96,1.28779,1.07543,1.21148,0.64166,0.5835,0.61941,0.37492,1.38899,1.33094,1.31654,0.004951,0.004951,0.004951
53,1576.78,1.27298,1.05401,1.19562,0.64649,0.61432,0.64322,0.40436,1.28711,1.08819,1.2496,0.004852,0.004852,0.004852
54,1604.81,1.25065,1.05458,1.19633,0.67344,0.63385,0.67851,0.43025,1.28887,1.07667,1.21084,0.004753,0.004753,0.004753
55,1635.79,1.24295,1.06501,1.19957,0.80538,0.65899,0.70479,0.42938,1.29483,1.11104,1.21171,0.004654,0.004654,0.004654
56,1664.66,1.27361,1.05847,1.19656,0.76922,0.62808,0.70934,0.42233,1.32784,1.10938,1.24106,0.004555,0.004555,0.004555
